Country,Name,World6 region,World4 region,Latitude,Longitude
mwi,Malawi,sub_saharan_africa,africa,-13.5,34.0
mys,Malaysia,east_asia_pacific,asia,2.5,112.5
myt,Mayotte,sub_saharan_africa,africa,-12.83333,45.16667
nam,Namibia,sub_saharan_africa,africa,-22.0,17.0
ncl,New Caledonia,east_asia_pacific,asia,-21.5,165.5
ner,Niger,sub_saharan_africa,africa,18.0,9.0
nfk,Norfolk Island,east_asia_pacific,asia,-29.03333,167.95
nga,Nigeria,sub_saharan_africa,africa,10.0,8.0
nic,Nicaragua,america,americas,13.0,-85.0
niu,Niue,east_asia_pacific,asia,-19.03333,-169.86667
nld,Netherlands,europe_central_asia,europe,52.25,5.75
nld_curacao,Curaçao,america,americas,12.16667,-68.96667
nor,Norway,europe_central_asia,europe,62.0,10.0
npl,Nepal,south_asia,asia,28.0,84.0
nru,Nauru,east_asia_pacific,asia,-0.517,166.933
nzl,New Zealand,east_asia_pacific,asia,-42.0,174.0
omn,Oman,middle_east_north_africa,asia,21.0,57.0
pak,Pakistan,south_asia,asia,30.0,70.0
pan,Panama,america,americas,8.9936,-79.51973
pcn,Pitcairn,east_asia_pacific,asia,-25.06667,-130.1
per,Peru,america,americas,-10.0,-75.25
phl,Philippines,east_asia_pacific,asia,13.0,122.0
plw,Palau,east_asia_pacific,asia,7.503,134.621
png,Papua New Guinea,east_asia_pacific,asia,-6.0,147.0
pol,Poland,europe_central_asia,europe,52.0,20.0
pri,Puerto Rico,america,americas,18.46633,-66.10572
prk,North Korea,east_asia_pacific,asia,40.0,127.0
prt,Portugal,europe_central_asia,europe,39.6945,-8.13057
pry,Paraguay,america,americas,-23.33333,-58.0
pse,Palestine,middle_east_north_africa,asia,31.92157,35.20329
pyf,French Polynesia,east_asia_pacific,asia,-15.0,-140.0
qat,Qatar,middle_east_north_africa,asia,25.27932,51.52245
reu,Reunion,sub_saharan_africa,africa,-20.88231,55.4504
rou,Romania,europe_central_asia,europe,46.0,25.0
rus,Russia,europe_central_asia,europe,60.0,100.0
rwa,Rwanda,sub_saharan_africa,africa,-2.0,30.0
sau,Saudi Arabia,middle_east_north_africa,asia,25.0,45.0
sdn,Sudan,sub_saharan_africa,africa,16.0,30.0
sen,Senegal,sub_saharan_africa,africa,14.5,-14.25
sgp,Singapore,east_asia_pacific,asia,1.28967,103.85007
shn,St. Helena,sub_saharan_africa,africa,-15.95,-5.7
sjm,Svalbard,europe_central_asia,europe,78.0,20.0
slb,Solomon Islands,east_asia_pacific,asia,-8.0,159.0
sle,Sierra Leone,sub_saharan_africa,africa,8.5,-11.5
slv,El Salvador,america,americas,13.83333,-88.91667
smr,San Marino,europe_central_asia,europe,43.93667,12.44639
som,Somalia,sub_saharan_africa,africa,6.0,48.0
spm,St.-Pierre-et-Miquelon,america,americas,46.83333,-56.33333
srb,Serbia,europe_central_asia,europe,44.81892,20.45998
ssd,South Sudan,sub_saharan_africa,africa,7.5,30.0
stp,Sao Tome and Principe,sub_saharan_africa,africa,1.0,7.0
sur,Suriname,america,americas,4.0,-56.0
svk,Slovak Republic,europe_central_asia,europe,48.66667,19.5
svn,Slovenia,europe_central_asia,europe,46.08333,15.0
swe,Sweden,europe_central_asia,europe,62.0,15.0
swz,Swaziland,sub_saharan_africa,africa,-26.5,31.5
sxm,Sint Maarten (Dutch part),nan,americas,18.04167,-63.06667
syc,Seychelles,sub_saharan_africa,africa,-4.58333,55.66667
syr,Syria,middle_east_north_africa,asia,35.0,38.0
tca,Turks and Caicos Islands,america,americas,21.73333,-71.58333
tcd,Chad,sub_saharan_africa,africa,15.0,19.0
tgo,Togo,sub_saharan_africa,africa,8.66667,1.08333
tha,Thailand,east_asia_pacific,asia,15.5,101.0
tjk,Tajikistan,europe_central_asia,asia,39.0,71.0
tkl,Tokelau,east_asia_pacific,asia,-9.167,-171.83
tkm,Turkmenistan,europe_central_asia,asia,39.75,59.66667
tls,Timor-Leste,east_asia_pacific,asia,-8.83333,125.75
ton,Tonga,east_asia_pacific,asia,-20.0,-175.0
tto,Trinidad and Tobago,america,americas,11.0,-61.0
tun,Tunisia,middle_east_north_africa,africa,34.0,9.0
tur,Turkey,europe_central_asia,europe,39.0,35.0
tuv,Tuvalu,east_asia_pacific,asia,-8.51719,179.14478
twn,Taiwan,east_asia_pacific,asia,24.0,121.0
tza,Tanzania,sub_saharan_africa,africa,-6.0,35.0
uga,Uganda,sub_saharan_africa,africa,1.25,32.5
ukr,Ukraine,europe_central_asia,europe,49.0,32.0
ury,Uruguay,america,americas,-33.0,-56.0
usa,United States,america,americas,39.76,-98.5
uzb,Uzbekistan,europe_central_asia,asia,41.66667,63.83333
vct,St. Vincent and the Grenadines,america,americas,13.08333,-61.2
ven,Venezuela,america,americas,8.0,-66.0
vgb,British Virgin Islands,america,americas,18.5,-64.5
vir,Virgin Islands (U.S.),america,americas,18.34829,-64.98348
vnm,Vietnam,east_asia_pacific,asia,16.16667,107.83333
vut,Vanuatu,east_asia_pacific,asia,-16.0,167.0
wlf,Wallis et Futuna,east_asia_pacific,asia,-13.3,-176.2
wsm,Samoa,east_asia_pacific,asia,-13.8,-172.13333
yem,Yemen,middle_east_north_africa,asia,15.5,47.5
zaf,South Africa,sub_saharan_africa,africa,-29.0,24.0
zmb,Zambia,sub_saharan_africa,africa,-14.33333,28.5
zwe,Zimbabwe,sub_saharan_africa,africa,-19.0,29.75
